layer,neuron_id,n_queries,active_count,active_rate,unique_docs,top_doc_token_id,top_doc_freq,top_doc_frac,doc_entropy,layer_dir,file
19,3823,1000,15,0.015,50,38605,15,0.02,3.912023005428145,L19,neuron_003823_exp3_summary.csv
20,3,1000,33,0.033,50,41701,33,0.02,3.912023005428145,L20,neuron_000003_exp3_summary.csv
20,33,1000,35,0.035,50,40607,35,0.02,3.912023005428145,L20,neuron_000033_exp3_summary.csv
20,130,1000,28,0.028,50,38482,28,0.02,3.912023005428145,L20,neuron_000130_exp3_summary.csv
20,684,1000,33,0.033,50,32103,33,0.02,3.912023005428145,L20,neuron_000684_exp3_summary.csv
20,808,1000,26,0.026,50,32593,26,0.02,3.912023005428145,L20,neuron_000808_exp3_summary.csv
20,819,1000,32,0.032,50,32114,32,0.02,3.912023005428145,L20,neuron_000819_exp3_summary.csv
20,834,1000,22,0.022,50,32104,22,0.02,3.912023005428145,L20,neuron_000834_exp3_summary.csv
20,884,1000,27,0.027,50,38400,27,0.02,3.912023005428145,L20,neuron_000884_exp3_summary.csv
20,1096,1000,18,0.018,50,41256,18,0.02,3.912023005428145,L20,neuron_001096_exp3_summary.csv
20,1203,1000,36,0.036,50,32127,36,0.02,3.912023005428145,L20,neuron_001203_exp3_summary.csv
20,1553,1000,33,0.033,50,34491,33,0.02,3.912023005428145,L20,neuron_001553_exp3_summary.csv
20,1984,1000,35,0.035,50,35380,35,0.02,3.912023005428145,L20,neuron_001984_exp3_summary.csv
20,2012,1000,43,0.043,50,32111,43,0.02,3.912023005428145,L20,neuron_002012_exp3_summary.csv
20,2136,1000,19,0.019,50,40032,19,0.02,3.912023005428145,L20,neuron_002136_exp3_summary.csv
20,2146,1000,20,0.02,50,39651,20,0.02,3.912023005428145,L20,neuron_002146_exp3_summary.csv
20,2241,1000,40,0.04,50,33455,40,0.02,3.912023005428145,L20,neuron_002241_exp3_summary.csv
20,2357,1000,38,0.038,50,37822,38,0.02,3.912023005428145,L20,neuron_002357_exp3_summary.csv
