layer,neuron_id,top_category,spec_score,top_cat_rate,activity_rate,top_cat_lift,rank_score
19,2790,science,0.653551157887124,0.08333333333333333,0.01,8.333333333333332,0.2723129824529683
19,1883,science,0.6479736781327115,0.08333333333333333,0.016,5.208333333333333,0.26998903255529644
19,3485,geography,0.6313317400316881,0.08695652173913043,0.015,5.797101449275362,0.27449206088334266
19,1911,geography,0.7453402512997921,0.043478260869565216,0.012,3.623188405797101,0.11741339812536106
19,1656,geography,0.7071080111317422,0.043478260869565216,0.02,2.1739130434782608,0.06683440558901155
19,1214,entertainment,0.6266325426065049,0.10294117647058823,0.016,6.4338235294117645,0.32253145575334813
19,2631,entertainment,0.6464505890175533,0.08823529411764706,0.023,3.8363171355498724,0.2188226004647954
19,465,entertainment,0.6331831167913193,0.10294117647058823,0.035,2.941176470588235,0.1917076910700361
19,99,entertainment,0.766547427884816,0.04411764705882353,0.011,4.010695187165776,0.13563476822435014
19,1877,entertainment,0.731935305405915,0.04411764705882353,0.015,2.9411764705882355,0.09497430433467756
19,1478,entertainment,0.7060700050617459,0.058823529411764705,0.029,2.028397565922921,0.08424651056696646
19,2926,definition,0.6314785455519606,0.05263157894736842,0.01,5.263157894736842,0.16617856461893699
19,2558,definition,0.7240056614523949,0.07894736842105263,0.03,2.631578947368421,0.15041668866739502
19,1987,definition,0.7563683610000126,0.039473684210526314,0.011,3.588516746411483,0.10714107354885596
19,2249,dates_numbers,0.6325672355965088,0.0851063829787234,0.013,6.546644844517185,0.26917754706234415
19,3823,biography,0.6430217673126322,0.06060606060606061,0.011,5.5096418732782375,0.19485508100382795
19,1444,biography,0.6086352759965306,0.06060606060606061,0.015,4.040404040404041,0.1490383289859885
19,1898,author,0.7065747165586034,0.1875,0.01,18.75,0.6624137967736907
19,649,author,0.6120543945771455,0.125,0.019,6.578947368421053,0.38253399661071597
19,3610,author,0.769339391505843,0.0625,0.013,4.8076923076923075,0.2311716921592076
19,1931,author,0.7206483187784793,0.03125,0.011,2.8409090909090913,0.06397801125519172
19,1619,author,0.7069122315409458,0.03125,0.014,2.232142857142857,0.0493102840081575
19,2198,author,0.7069122315409458,0.03125,0.014,2.232142857142857,0.0493102840081575
18,106,sports,1.0,1.0,0.015625,64.0,5.0
18,1040,sports,1.0,1.0,0.015625,64.0,5.0
18,1080,sports,1.0,1.0,0.015625,64.0,5.0
18,1211,sports,1.0,1.0,0.015625,64.0,5.0
18,1239,sports,1.0,1.0,0.015625,64.0,5.0
18,1404,sports,1.0,1.0,0.015625,64.0,5.0
18,2322,sports,1.0,1.0,0.015625,64.0,5.0
18,2352,sports,1.0,1.0,0.015625,64.0,5.0
18,2397,sports,1.0,1.0,0.015625,64.0,5.0
18,2480,sports,1.0,1.0,0.015625,64.0,5.0
18,2738,sports,1.0,1.0,0.015625,64.0,5.0
18,2805,sports,1.0,1.0,0.015625,64.0,5.0
18,2842,sports,1.0,1.0,0.015625,64.0,5.0
18,2964,sports,1.0,1.0,0.015625,64.0,5.0
18,3008,sports,1.0,1.0,0.015625,64.0,5.0
18,3357,sports,1.0,1.0,0.015625,64.0,5.0
18,3388,sports,1.0,1.0,0.015625,64.0,5.0
18,3520,sports,1.0,1.0,0.015625,64.0,5.0
18,3654,sports,1.0,1.0,0.015625,64.0,5.0
18,15,sports,0.9471496610273692,1.0,0.03125,32.0,4.735748305136846
18,906,science,1.0,1.0,0.015625,64.0,5.0
18,1224,science,1.0,1.0,0.015625,64.0,5.0
18,2197,science,1.0,1.0,0.015625,64.0,5.0
18,2208,science,1.0,1.0,0.015625,64.0,5.0
18,2381,science,1.0,1.0,0.015625,64.0,5.0
18,2926,science,1.0,1.0,0.015625,64.0,5.0
18,184,science,0.9471496610273692,1.0,0.03125,32.0,4.735748305136846
18,704,science,0.9471496610273692,1.0,0.03125,32.0,4.735748305136846
18,845,science,0.9471496610273692,1.0,0.03125,32.0,4.735748305136846
18,866,science,0.9471496610273692,1.0,0.03125,32.0,4.735748305136846
18,1127,science,0.9471496610273692,1.0,0.03125,32.0,4.735748305136846
18,1446,science,0.9471496610273692,1.0,0.03125,32.0,4.735748305136846
