layer,neuron,drop_frac
21,677,0.002
21,676,0.002
23,371,0.002
21,695,0.002
21,689,0.002
21,688,0.002
21,744,0.002
21,767,0.002
21,766,0.002
21,765,0.002
21,764,0.002
21,762,0.002
21,781,0.002
21,778,0.002
21,772,0.002
23,340,0.002
21,790,0.002
21,787,0.002
20,172,0.002
21,721,0.002
18,846,0.002
21,715,0.002
18,852,0.002
21,728,0.002
18,858,0.002
21,723,0.002
21,741,0.002
18,818,0.002
20,162,0.002
20,183,0.002
21,783,0.002
23,410,0.002
21,597,0.002
21,594,0.002
21,593,0.002
21,609,0.002
21,606,0.002
21,605,0.002
21,603,0.002
21,623,0.002
21,621,0.002
18,771,0.002
21,684,0.002
21,633,0.002
21,631,0.002
21,630,0.002
18,775,0.002
21,561,0.002
21,558,0.002
21,550,0.002
18,783,0.002
21,548,0.002
21,569,0.002
21,568,0.002
21,618,0.002
21,703,0.002
23,376,0.002
21,699,0.002
21,698,0.002
21,697,0.002
21,712,0.002
22,777,0.002
21,707,0.002
21,706,0.002
23,362,0.002
23,363,0.002
21,665,0.002
21,638,0.002
23,366,0.002
23,354,0.002
21,645,0.002
21,644,0.002
23,356,0.002
23,360,0.002
23,412,0.002
23,413,0.002
21,669,0.002
21,668,0.002
23,364,0.002
19,235,0.002
19,239,0.002
19,686,0.002
19,683,0.002
19,240,0.002
19,675,0.002
19,573,0.002
19,570,0.002
19,569,0.002
19,566,0.002
22,151,0.002
19,222,0.002
19,223,0.002
19,579,0.002
19,330,0.002
19,607,0.002
19,331,0.002
22,537,0.002
19,300,0.002
22,532,0.002
19,308,0.002
19,312,0.002
19,565,0.002
22,873,0.002
22,874,0.002
22,862,0.002
19,502,0.002
22,864,0.002
22,865,0.002
19,499,0.002
19,498,0.002
19,496,0.002
19,517,0.002
19,516,0.002
22,918,0.002
19,508,0.002
19,507,0.002
19,505,0.002
22,572,0.002
22,571,0.002
22,570,0.002
22,913,0.002
22,517,0.002
22,514,0.002
22,530,0.002
22,525,0.002
22,922,0.002
22,947,0.002
19,736,0.002
22,950,0.002
22,951,0.002
19,730,0.002
22,937,0.002
22,941,0.002
19,631,0.002
22,943,0.002
22,944,0.002
19,652,0.002
22,919,0.002
19,645,0.002
22,930,0.002
22,932,0.002
19,638,0.002
22,934,0.002
22,936,0.002
22,990,0.002
22,991,0.002
22,993,0.002
22,414,0.002
22,408,0.002
22,929,0.002
22,493,0.002
22,490,0.002
22,909,0.002
22,486,0.002
22,497,0.002
22,496,0.002
22,897,0.002
22,513,0.002
22,512,0.002
22,509,0.002
22,508,0.002
19,739,0.002
22,953,0.002
22,954,0.002
22,456,0.002
22,455,0.002
22,956,0.002
19,728,0.002
19,726,0.002
19,725,0.002
19,724,0.002
22,957,0.002
22,958,0.002
22,900,0.002
22,770,0.002
19,386,0.002
22,773,0.002
22,758,0.002
22,762,0.002
22,764,0.002
19,406,0.002
22,816,0.002
22,811,0.002
22,708,0.002
22,723,0.002
22,872,0.002
22,720,0.002
22,801,0.002
